"Bug编号","所属产品","所属模块","所属项目","相关需求","相关任务","Bug标题","关键词","严重程度","优先级","Bug类型","操作系统","浏览器","重现步骤","Bug状态","截止日期","激活次数","是否确认","抄送给","由谁创建","创建日期","影响版本","指派给","指派日期","解决者","解决方案","解决版本","解决日期","由谁关闭","关闭日期","重复ID","相关Bug","相关用例","最后修改者","修改日期","附件"
"398","币道(#2)","/(#0)","币道(#3)","","","【IOS】币币页面-卖出窗口,数量输入框中显示的数值不正确","","3","1","代码错误","","","
1:将滑块条拉至右侧最大值
2:当滑块条处于最大值时，观察数量输入框中的数值是否和当前滑块最大值的数值一致
3:如图所示滑动条当前位置显示的数值明显和数量框中的数值不符合
期望：当滑块处于最大值时，与数量输入框中的数值保持一致即可

","激活","2018-11-07","0","未确认","","肖yr","2018-11-07","主干(#trunk)","仁军","2018-11-07","","","","0000-00-00","","0000-00-00","0","","","","0000-00-00","",""
"390","币道(#2)","/(#0)","币道(#3)","","","【IOS】身份认证，在上传照片页面中点击上传按钮，在弹出的列表中选择照片图库的方式读取照片信息时会导致客户端崩溃","","3","1","代码错误","","","

","激活","2018-11-06","0","未确认","","肖yr","2018-11-06","主干(#trunk)","仁军","2018-11-06","","","","0000-00-00","","0000-00-00","0","","","","0000-00-00","",""
"388","币道(#2)","/(#0)","币道(#3)","","","【IOS】安全中心，谷歌验证器绑定页面输入相应校验码验证成功后没有自动返回到安全中心页面，同时需要给予“绑定成功”的提示信息","","3","1","代码错误","","","[步骤]
[结果]
[期望]
","激活","2018-11-06","0","未确认","","肖yr","2018-11-06","主干(#trunk)","仁军","2018-11-06","","","","0000-00-00","","0000-00-00","0","","","","0000-00-00","",""
"387","币道(#2)","/(#0)","币道(#3)","","","【IOS】OTC页面，在购买窗口中选择币计价方式，点击全部买入时法币的取值不正确，应该根据当前可售的剩余数量计算出最大买入的法币价格","","3","1","代码错误","","","","激活","2018-11-06","0","未确认","","肖yr","2018-11-06","主干(#trunk)","仁军","2018-11-06","","","","0000-00-00","","0000-00-00","0","","","","0000-00-00","",""
"384","币道(#2)","/(#0)","币道(#3)","","","【IOS】行情-编辑自选页面中当选中或取消勾选框时会出现黑色的方框，且勾选框也会不停的跳动","","3","1","代码错误","","","

","激活","2018-11-05","0","未确认","","肖yr","2018-11-05","主干(#trunk)","仁军","2018-11-05","","","","0000-00-00","","0000-00-00","0","","","","0000-00-00","",""
"383","币道(#2)","/(#0)","币道(#3)","","","【IOS】币币页面左侧列表菜单中自选一列中当交易对的名称过长时显示不全","","3","1","代码错误","","","","激活","2018-11-05","0","未确认","","肖yr","2018-11-05","主干(#trunk)","仁军","2018-11-05","","","","0000-00-00","","0000-00-00","0","","","","0000-00-00","",""
"382","币道(#2)","/(#0)","币道(#3)","","","【IOS】在通过手势密码登陆时，在手势界面缺少取消按钮以及切换账号按钮","","3","1","代码错误","","","1：2：
图1为当前APP内通过手势登陆的界面图
图2为墨刀设计图，以当前图2所示的设计为准，在图1的页面基础上增加对应的取消按钮和切换账号按钮

","激活","2018-11-05","0","未确认","","肖yr","2018-11-05","主干(#trunk)","仁军","2018-11-06","","","","0000-00-00","","0000-00-00","0","","","肖yr","2018-11-06","",""
"381","币道(#2)","/(#0)","币道(#3)","","","【IOS】安全中心-绑定手机页面，点击区号在弹出的下拉列表中滑块条无法拉动至最底部，导致最后一个国家名称无法正确显示出来","","3","1","代码错误","","","[步骤]
[结果]
[期望]
","激活","2018-11-05","0","未确认","","肖yr","2018-11-05","主干(#trunk)","仁军","2018-11-05","","","","0000-00-00","","0000-00-00","0","","","","0000-00-00","",""
"380","币道(#2)","/(#0)","币道(#3)","","","【IOS】绑定谷歌身份验证器页面二维码图案加载不出来","","3","1","代码错误","","","

","激活","2018-11-05","0","未确认","","肖yr","2018-11-05","主干(#trunk)","仁军","2018-11-05","","","","0000-00-00","","0000-00-00","0","","","","0000-00-00","",""
"379","币道(#2)","/(#0)","币道(#3)","","","【IOS】谷歌身份证验证页面点击开启按钮以后跳转到的页面是设置手势密码的页面，当点击开启或关闭按钮时对应打开或关闭谷歌验证即可","","3","1","代码错误","","","2：
如图所示的按钮为谷歌验证开启或关闭的按钮
当按钮滑至右侧时即开启谷歌验证，同时需要校验之前绑定的谷歌校验码，校验成功即可开启
当按钮滑至左侧时即关闭谷歌验证，如图2所示在当前弹出的同一个窗口列表中根据已绑定的方式依次进行验证（当前的绑定方式有短信、邮箱、谷歌验证器）
","激活","2018-11-05","0","未确认","","肖yr","2018-11-05","主干(#trunk)","仁军","2018-11-06","","","","0000-00-00","","0000-00-00","0","","","肖yr","2018-11-06","",""
"378","币道(#2)","/(#0)","币道(#3)","","","【iOS】安全中心，谷歌身份验证器页面点击已绑定这一栏仍然可以跳转到绑定页面。若已绑定成功则为不可点击的状态，点击后不会跳转","","3","1","代码错误","","","

","激活","2018-11-05","0","未确认","","肖yr","2018-11-05","主干(#trunk)","仁军","2018-11-06","","","","0000-00-00","","0000-00-00","0","","","肖yr","2018-11-06","",""
"377","币道(#2)","/(#0)","币道(#3)","","","【iOS】订单中心-未完成订单页面中对于出售类型的订单点击取消时给出的弹窗提示信息不正确，应该显示为“我确认还没有收到对方的付款”","","3","1","代码错误","","","[步骤]

[结果]

[期望]

","激活","2018-11-05","0","未确认","","肖yr","2018-11-05","主干(#trunk)","仁军","2018-11-05","","","","0000-00-00","","0000-00-00","0","","","肖yr","2018-11-05","",""
